,lost
1345818240,5.1044948698e+00
1345835520,9.3236785764e-01
1345852800,8.7559059167e+00
1345870080,4.1572904514e-01
1345887360,3.5093937826e+01
1345904640,8.3297722569e-01
1346008320,5.0895028307e+01
1346025600,1.0444100839e+01
1346042880,3.6188368750e+00
1346060160,3.8438652767e+01
1346077440,4.3735158021e+00
1346094720,2.7079734653e+00
1346112000,4.1471774109e+00
1346129280,4.1764907639e-01
1346146560,2.8745154783e+01
1346163840,3.2567253843e+00
1346198400,4.7888295451e+00
1346215680,6.2447797743e-01
1346232960,5.5969588042e+01
1346250240,2.4715162314e+00
1346267520,1.9516684835e+01
1346284800,1.1267985851e+00
1346302080,2.0820911458e+00
1346319360,3.3746657769e+01
1346336640,2.8119995972e+00
1346353920,1.2532825835e+01
1346371200,6.4419756927e+00
1346388480,3.1453285938e-01
1346405760,3.4881329823e+01
1346423040,5.5201793177e+00
1346440320,1.2608669007e+01
1346457600,5.5199999809e+00
1346474880,1.8743269531e+00
1346492160,1.1963922127e+01
1346509440,6.2494694444e-01
1346526720,1.0431991378e+01
1346544000,8.3324366146e-01
1346561280,3.1274586285e-01
1346578560,7.2318242326e+00
1346595840,1.5708142207e+01
1346613120,3.3307018385e+00
1346630400,1.3509581476e+00
1346647680,4.1570372569e-01
1346664960,1.2183716422e+01
1346682240,7.1833649757e+00
1346699520,3.7480113247e+00
1346716800,2.7123412847e+00
1346734080,4.1622378993e-01
1346751360,2.9798595085e+01
1346768640,1.4473850198e+01
1346785920,4.5763837552e+00
1346803200,1.3434179036e+01
1346820480,3.2801495833e-01
1346837760,2.0775372790e+01
1346855040,2.9156519792e+00
1346872320,5.2108890521e+00
1346889600,1.3551739948e+00
1346906880,9.3600661285e-01
1346924160,3.5636357655e+01
1346941440,2.1842623194e+00
1346958720,3.5398933264e+00
1346976000,6.6437577378e+00
1346993280,3.1245922049e-01
1347010560,5.0096186613e+01
1347027840,4.8808360590e+00
1347045120,8.1345666250e+00
1347062400,1.0412684375e-01
1347079680,2.0781317708e-01
1347096960,3.6259286778e+01
1347114240,1.1428256389e+00
1347131520,1.8760177500e+00
1347148800,0.0000000000e+00
